iter	Passed	Remaining
0	3	3837
1	6	3431
2	9	3253
3	12	3149
4	15	3052
5	18	3000
6	20	2965
7	23	2912
8	26	2874
9	28	2783
10	30	2706
11	32	2641
12	34	2583
13	35	2529
14	37	2482
15	39	2450
16	41	2416
17	44	2400
18	46	2376
19	47	2349
20	49	2323
21	51	2309
22	53	2293
23	55	2276
24	58	2266
25	60	2254
26	62	2238
27	64	2224
28	66	2219
29	68	2208
30	70	2195
31	72	2193
32	75	2201
33	77	2200
34	79	2201
35	82	2199
36	84	2193
37	86	2192
38	88	2193
39	91	2189
40	93	2192
41	96	2190
42	98	2192
43	100	2189
44	102	2185
45	105	2179
46	107	2181
47	109	2172
48	111	2169
49	113	2165
50	115	2157
51	117	2150
52	119	2143
53	121	2136
54	123	2129
55	125	2122
56	127	2116
57	129	2108
58	131	2103
59	134	2103
60	136	2101
61	138	2100
62	140	2094
63	142	2089
64	144	2085
65	146	2079
66	149	2075
67	151	2070
68	153	2066
69	155	2061
70	157	2055
71	159	2051
72	161	2044
73	163	2042
74	165	2037
75	167	2032
76	169	2027
77	171	2022
78	173	2018
79	175	2013
80	177	2008
81	179	2007
82	181	2006
83	183	2005
84	185	2002
85	188	2001
86	190	1998
87	192	1998
88	194	1995
89	196	1990
90	199	1987
91	200	1983
92	202	1978
93	204	1973
94	206	1970
95	209	1969
96	211	1965
97	213	1961
98	215	1957
99	217	1954
100	219	1950
101	221	1946
102	223	1943
103	225	1940
104	227	1937
105	229	1933
106	231	1930
107	233	1932
108	236	1931
109	238	1929
110	240	1927
111	242	1923
112	244	1921
113	247	1919
114	248	1915
115	250	1912
116	252	1908
117	255	1907
118	257	1904
119	259	1901
120	261	1898
121	263	1894
122	265	1891
123	267	1888
124	269	1887
125	272	1887
126	274	1887
127	277	1887
128	279	1887
129	281	1885
130	283	1883
131	286	1882
132	288	1880
133	290	1877
134	292	1876
135	295	1874
136	297	1873
137	299	1870
138	301	1869
139	303	1865
140	305	1862
141	307	1859
142	309	1856
143	311	1853
144	313	1849
145	315	1847
146	317	1844
147	319	1841
148	321	1838
149	324	1836
150	326	1833
151	328	1830
152	330	1827
153	332	1825
154	334	1823
155	336	1820
156	338	1817
157	340	1814
158	342	1811
159	344	1808
160	346	1807
161	348	1803
162	350	1800
163	352	1798
164	355	1796
165	356	1793
166	359	1790
167	361	1787
168	363	1785
169	365	1783
170	367	1780
171	369	1777
172	371	1774
173	373	1772
174	375	1770
175	377	1767
176	379	1766
177	382	1764
178	384	1762
179	386	1759
180	388	1756
181	390	1753
182	392	1752
183	394	1750
184	396	1747
185	398	1745
186	400	1743
187	402	1740
188	404	1737
189	407	1735
190	409	1732
191	411	1729
192	413	1726
193	415	1724
194	416	1721
195	419	1719
196	421	1717
197	423	1714
198	425	1711
199	427	1709
200	429	1706
