Job tenure,Age,Car price,Funding amount,Down payment,Loan duration,Monthly payment,Credit event,Married,Homeowner,Monthly payment to income ratio,Loan to car price ratio,Job tenure * Age,Job tenure * Monthly payment,Age * Monthly payment,Default (y),Pred_default (y_hat),PD,Group
34,55,4875,3087,0,36,0.04789473684210526,0,1,1,1.5514977920987933e-05,0.6332307692306393,1870,1.6284210526315788,2.6342105263157896,0,0,0.001355909,1
5,29,13000,13000,0,60,0.09166666666666666,0,0,0,7.051282051281508e-06,0.9999999999999231,145,0.4583333333333333,2.658333333333333,1,0,0.23499544,0
14,38,17190,14190,0,60,0.08823529411764706,0,0,0,6.2181320731247955e-06,0.825479930191924,532,1.2352941176470589,3.3529411764705883,0,0,4.5321216e-05,0
16,37,22773,23568,0,48,0.1100843712334271,0,1,1,4.6709254596665994e-06,1.0349097615596963,592,1.7613499397348336,4.073121735636803,0,0,1.6754544e-05,1
1,61,7700,8526,0,48,0.1234042553191489,0,1,0,1.4473874656243774e-05,1.1072727272725833,61,0.1234042553191489,7.527659574468084,1,1,0.98128915,0
17,50,10250,5750,0,48,0.1101694915254237,0,0,1,1.9159911569635572e-05,0.5609756097560428,850,1.8728813559322028,5.508474576271185,0,0,0.0027863043,0
8,45,8050,6050,0,48,0.06043478260869565,0,0,0,9.989220265898456e-06,0.7515527950309625,360,0.4834782608695652,2.7195652173913043,0,0,0.0008410084,0
10,51,9950,9610,0,60,0.06974358974358974,0,0,0,7.257397475919092e-06,0.9658291457285461,510,0.6974358974358974,3.5569230769230766,0,0,0.018986957,0
1,28,3890,4306,0,36,0.07470588235294118,1,1,0,1.7349252752653e-05,1.1069408740357052,28,0.07470588235294118,2.091764705882353,1,1,0.9991359,0
1,28,10790,11954,0,84,0.1108843537414966,0,0,0,9.275920507067704e-06,1.1078776645040678,28,0.1108843537414966,3.104761904761905,1,1,0.9919783,0
6,36,15589,9366,0,48,0.08584589614740369,0,1,0,9.165694655925104e-06,0.6008082622361536,216,0.5150753768844222,3.090452261306533,0,0,0.00064466853,1
3,67,15990,15487,0,48,0.06,0,0,0,3.874217085297096e-06,0.968542839274486,201,0.18,4.02,0,0,0.006464972,0
2,48,13400,11800,0,96,0.1808252427184466,0,0,0,1.5324173111731463e-05,0.8805970149253074,96,0.3616504854368932,8.679611650485437,0,0,5.6991386e-05,0
5,39,25790,25901,0,60,0.09172126265634306,0,1,0,3.541224765697831e-06,1.004303993796006,195,0.4586063132817153,3.5771292435973794,0,1,0.99614257,0
15,53,3400,3400,0,24,0.06772727272727273,1,1,1,1.9919786096250827e-05,0.9999999999997059,795,1.015909090909091,3.589545454545455,0,0,0.00032704414,0
1,30,18400,13169,0,36,0.5555555555555556,0,0,0,4.218661671770927e-05,0.7157065217390916,30,0.5555555555555556,16.666666666666668,0,0,0.013923622,0
5,23,24250,20594,0,48,0.1633333333333333,0,0,0,7.931112621798842e-06,0.8492371134020268,115,0.8166666666666665,3.756666666666666,0,0,0.0058937916,0
3,22,9078,9909,0,60,0.09076923076923077,0,0,1,9.160281639844747e-06,1.091539986781109,66,0.2723076923076923,1.996923076923077,0,0,0.024989955,0
0,25,15990,17302,0,60,0.1584615384615385,0,0,0,9.158567706711901e-06,1.0820512820512143,0,0.0,3.961538461538462,0,0,0.0001222381,0
44,60,13800,11808,0,72,0.07102040816326531,0,1,1,6.014600962335645e-06,0.8556521739129814,2640,3.1248979591836736,4.261224489795919,0,0,1.5331368e-06,1
0,30,6990,5433,0,60,0.08169934640522876,0,1,0,1.5037612075320029e-05,0.7772532188840089,0,0.0,2.450980392156863,1,1,0.9968912,0
8,32,16120,11448,0,60,0.05441860465116279,0,0,1,4.753546877284944e-06,0.7101736972704273,256,0.43534883720930234,1.7413953488372094,0,0,1.7212767e-05,0
26,58,14990,10690,0,72,0.11,0,0,1,1.0289990645462087e-05,0.7131420947297723,1508,2.86,6.38,0,0,0.0010589986,0
3,26,14140,4840,1,12,0.2985714285714286,0,1,1,6.168831168829895e-05,0.3422913719943181,78,0.8957142857142858,7.762857142857143,0,0,4.8167458e-05,0
10,61,8600,8600,0,36,0.1770034843205575,0,1,1,2.0581800502388014e-05,0.9999999999998836,610,1.770034843205575,10.797212543554009,0,0,0.0016035609,1
4,67,2986,2986,0,12,0.1953846153846154,0,1,0,6.543356174968184e-05,0.9999999999996652,268,0.7815384615384616,13.090769230769233,0,0,0.0010228388,0
